id_canton,parroquia
2,El Sagrario
2,San Sebastián
2,Sucre
2,Valle
2,Loja
2,Chantaco
2,Chuquiribamba
2,El Cisne
2,Gualel
2,Jimbilla
2,Malacatos (VALLADOLID)
2,San Lucas
2,San Pedro De Vilcabamba
2,Santiago
2,Taquil (MIGUEL Riofrío)
2,Vilcabamba (VICTORIA)
2,Yangana (ARSENIO Castillo)
2,Quinara
3,Cariamanga
3,Chile
3,San Vicente
3,Cariamanga
3,Colaisaca
3,El Lucero
3,Utuana
3,Sanguillín
4,Catamayo
4,San José
4,Catamayo (LA Toma)
4,El Tambo
4,Guayquichuma
4,San Pedro De La Bendita
4,Zambi
5,Celica
5,Cruzpamba (CAB. En Carlos Bustamante)
5,Chaquinal
5,12 De Diciembre (CAB. En Achiotes)
5,Pindal (FEDERICO Páez)
5,Pozul (SAN Juan De Pozul)
5,Sabanilla
5,Tnte. Maximiliano Rodríguez Loaiza
6,Chaguarpamba
6,Buenavista
6,El Rosario
6,Santa Rufina
6,Amarillos
7,Amaluza
7,Bellavista
7,Jimbura
7,Santa Teresita
7,27 De Abril (CAB. En La Naranja)
7,El Ingenio
7,El Airo
8,Gonzanamá
8,Changaimina (LA Libertad)
8,Fundochamba
8,Nambacola
8,Purunuma (EGUIGUREN)
8,Quilanga (LA Paz)
8,Sacapalca
8,San Antonio De Las Aradas (CAB. En Las Aradas)
9,General Eloy Alfaro (SAN Sebastián)
9,Macará (MANUEL Enrique Rengel Suquilanda)
9,Macará
9,Larama
9,La Victoria
9,Sabiango (LA Capilla)
10,Catacocha
10,Lourdes
10,Catacocha
10,Cangonamá
10,Guachanamá
10,La Tingue
10,Lauro Guerrero
10,Olmedo (SANTA Bárbara)
10,Orianga
10,San Antonio
10,Casanga
10,Yamana
11,Alamor
11,Ciano
11,El Arenal
11,El Limo (MARIANA De Jesús)
11,Mercadillo
11,Vicentino
12,Saraguro
12,El Paraíso De Celén
12,El Tablón
12,Lluzhapa
12,Manú
12,San Antonio De Qumbe (CUMBE)
12,San Pablo De Tenta
12,San Sebastián De Yúluc
12,Selva Alegre
12,Urdaneta (PAQUISHAPA)
12,Sumaypamba
13,Sozoranga
13,Nueva Fátima
13,Tacamoros
14,Zapotillo
14,Mangahurco (CAZADEROS)
14,Garzareal
14,Limones
14,Paletillas
14,Bolaspamba
15,Pindal
15,Chaquinal
15,12 De Diciembre (CAB.EN Achiotes)
15,Milagros
16,Quilanga
16,Fundochamba
16,San Antonio De Las Aradas (CAB. En Las Aradas)
17,Olmedo
17,La Tingue
18,La Providencia
18,Machala
18,Puerto Bolívar
18,Nueve De Mayo
18,El Cambio
18,Machala
18,El Cambio
18,El Retiro
19,Arenillas
19,Chacras
19,La Libertad
19,Las Lajas (CAB. En La Victoria)
19,Palmales
19,Carcabón
20,Paccha
20,Ayapamba
20,Cordoncillo
20,Milagro
20,San José
20,San Juan De Cerro Azul
21,Balsas
21,Bellamaría
22,Chilla
23,El Guabo
23,Barbones (SUCRE)
23,La Iberia
23,Tendales (CAB.EN Puerto Tendales)
23,Río Bonito
24,Ecuador
24,El Paraíso
24,Hualtaco
24,Milton Reyes
24,Unión Lojana
24,Huaquillas
25,Marcabelí
25,El Ingenio
26,Bolívar
26,Loma De Franco
26,Ochoa León (MATRIZ)
26,Tres Cerritos
26,Pasaje
26,Buenavista
26,Casacay
26,La Peaña
26,Progreso
26,Uzhcurrumi
26,Cañaquemada
27,La Matriz
27,La Susaya
27,Piñas Grande
27,Piñas
27,Capiro (CAB. En La Capilla De Capiro)
27,La Bocana
27,Moromoro (CAB. En El Vado)
27,Piedras
27,San Roque (AMBROSIO Maldonado)
27,Saracay
28,Portovelo
28,Curtincapa
28,Morales
28,Salatí
29,Santa Rosa
29,Puerto Jelí
29,Balneario Jambelí (SATÉLITE)
29,Jumón (SATÉLITE)
29,Nuevo Santa Rosa
29,Santa Rosa
29,Bellavista
29,Jambelí
29,La Avanzada
29,San Antonio
29,Torata
29,Victoria
29,Bellamaría
30,Zaruma
30,Abañín
30,Arcapamba
30,Guanazán
30,Guizhaguiña
30,Huertas
30,Malvas
30,Muluncay Grande
30,Sinsao
30,Salvias
31,La Victoria
31,Platanillos
31,Valle Hermoso
31,La Victoria
31,La Libertad
31,El Paraíso
31,San Isidro
32,El Limón
32,Zamora
32,Zamora
32,Cumbaratza
32,Guadalupe
32,Imbana (LA Victoria De Imbana)
32,Paquisha
32,Sabanilla
32,Timbara
32,Zumbi
32,San Carlos De Las Minas
33,Zumba
33,Chito
33,El Chorro
33,El Porvenir Del Carmen
33,La Chonta
33,Palanda
33,Pucapamba
33,San Francisco Del Vergel
33,Valladolid
33,San Andrés
34,Guayzimi
34,Zurmi
34,Nuevo Paraíso
35,28 De Mayo (SAN José De Yacuambi)
35,La Paz
35,Tutupali
36,Yantzaza (YANZATZA)
36,Chicaña
36,El Pangui
36,Los Encuentros
37,El Pangui
37,El Guisme
37,Pachicutza
37,Tundayme
38,Zumbi
38,Paquisha
38,Triunfo-Dorado
38,Panguintza
39,Palanda
39,El Porvenir Del Carmen
39,San Francisco Del Vergel
39,Valladolid
39,La Canela
40,Paquisha
40,Bellavista
40,Nuevo Quito
